Author,Date,Headline,Graf,Graf ID,Year Won
C.J. Chivers,2016-12-28,The Fighter,"Sam Siatta was deep in a tequila haze, so staggeringly drunk that he would later say he retained no memory of the crime he was beginning to commit.",1,2017
C.J. Chivers,2016-12-28,The Fighter,"It was a few minutes after 2 a.m. on April 13, 2014. Siatta had just forced his way into a single-story home in Normal, Ill., a college town on the prairie about 130 miles southwest of Chicago. A Marine Corps veteran of the war in Afghanistan, he was a 24-year-old freshman studying on the G.I. Bill at the university nearby, Illinois State. He had a record of valor in infantry combat and no criminal past. He also had no clear reason to have entered someone else’s home, no motive that prosecutors would be able to point to at trial — no intention to rob, no indication that he knew or had even seen before any of the three young female teaching students who lived inside, or the boyfriends who were with two of them.",2,2017
C.J. Chivers,2016-12-28,The Fighter,"Two of the women and one of the men had awakened minutes earlier when they thought they heard someone opening and closing the front door. It had been an unnerving sensation, the feeling that an intruder had stepped into the home. They tried to settle themselves and return to bed, only to be jolted by a house-shaking bang — the sound of Siatta hitting the back door with such force that he splintered the jamb.",3,2017
C.J. Chivers,2016-12-28,The Fighter,"The door swung open into a dining area. Siatta strode into the unfamiliar space, just around the block from the similarly sized home where he rented a room. A little more than six feet tall and weighing about 175 pounds, he was a thoroughly trained veteran of a small-unit ground war and heavily tattooed, with red tally marks on his sternum indicating seven Taliban kills from 2009 and 2010. His former company commander would later tell a trial judge that of the 388 troops he led in Afghanistan, Siatta was the man the militants feared most.",4,2017
C.J. Chivers,2016-12-28,The Fighter,The women cowered behind a flimsy bedroom door. One of them dialed 911. Another clutched a stubby kitchen knife.,5,2017
C.J. Chivers,2016-12-28,The Fighter,"Since leaving the corps in 2012, Siatta had been unable to switch off the habits of war. He was hypervigilant and struggled to relax. He watched people, sizing them up and scanning for threats. In the varying situations of everyday life, he constantly repositioned himself so no one got behind him. Much of this was appropriate for combat patrols. Some of it drew from his training. All of it was mentally and emotionally exhausting, unsuited for a peaceful life. Going to a restaurant, moving through knots of people at a party, visiting the mall, finding a seat in a classroom relative to other people and windows and doors — each was a challenge requiring effort and will.",6,2017
C.J. Chivers,2016-12-28,The Fighter,"Siatta had been in a deepening funk for months. For more than four years he had been stalked by memories of civilians his platoon had killed, people whose lives had abruptly ended for a reason as unforgiving as it was simple — being in the wrong place when the shooting began. The Department of Veterans Affairs would later say he suffered from depression, alcohol dependency and PTSD. But until this moment, he had adapted with behaviors allowing him to pass as less troubled than he was. He avoided crowds. He drank prodigious amounts of alcohol to dim his heightened alertness and to muffle his sorrows. He socialized rarely, often only with his mother or brother.",7,2017
C.J. Chivers,2016-12-28,The Fighter,"The dining area Siatta had entered gave way to a little kitchen, which opened into a small living room. In that adjoining room, perhaps 25 feet from Siatta, stood one of the boyfriends, another young former Marine. In any number of situations, the two men might have become friends. But they had served in different places and jobs in the corps, and the man in the living room had no idea he had anything in common with the man in the kitchen. He positioned himself between his girlfriend and the shattered door.",8,2017
C.J. Chivers,2016-12-28,The Fighter,"He was shorter than Siatta but more muscular, with a build hinting at years of weight training and competitive wrestling. He was also sober. He looked across the kitchen at the broken door. The deadbolt was still extended. Whoever had forced the door was strong. He heard movement around the corner, a rustling from the back of the house. He held a steak knife with a serrated eight-inch blade, the weapon he managed to muster in the seconds he had to think.",9,2017
C.J. Chivers,2016-12-28,The Fighter,"Siatta stepped into his line of sight. He was walking toward the living room, deeper into the house.",10,2017
C.J. Chivers,2016-12-28,The Fighter,"Only one man knows exactly what happened next. Knife in hand, he identified himself as a former Marine and demanded that Siatta get out.",11,2017
C.J. Chivers,2016-12-28,The Fighter,"“You don’t belong here,” he said. “You need to leave.”",12,2017
C.J. Chivers,2016-12-28,The Fighter,"Siatta kept walking, the man said, and lifted a frying pan off the stove as he passed by. “You have been bad,” he said, raising the pan by its handle. “And this will do.”",13,2017
C.J. Chivers,2016-12-28,The Fighter,Whatever options had existed narrowed to one. The fight began.,14,2017
C.J. Chivers,2016-12-28,The Fighter,"The first time I saw Sam Siatta was in April 2016 at the Shawnee Correctional Center, a medium-security state penitentiary in southern Illinois. He was brought by the guards to a dreary conference room, away for the moment from a cellblock for serious offenders. Before he arrived, a correctional officer asked me and two members of the law firm representing Siatta whether we wanted a guard stationed nearby, in case the inmate acted up.",15,2017
C.J. Chivers,2016-12-28,The Fighter,"Siatta walked in wearing blue prison garb. He had the light feet and muscular shoulders of a young fighter. His short sleeves offered glimpses of grim tattoos — a skull resting on an hourglass on his right forearm, among others — common to many grunts. He looked tough. He also looked deflated. He came off as nervous, scared and almost painfully polite, a man overwhelmed by his circumstances.",16,2017
C.J. Chivers,2016-12-28,The Fighter,"Richard R. Winter, the attorney who days before had filed an appeal of Siatta’s conviction, asked how he was doing. Any pretense of Siatta as a threat to visitors fell away. He was not doing well. Shawnee, he said, was run by gangs, which he had to take care not to cross. Two cellmates had been Latin Kings, and another was a sex offender who had almost drawn Siatta into a fight over a petty cellblock theft. The aging penitentiary in Pontiac, where he was held while awaiting a court hearing, was worse. There the inmates shouted and wailed through the night, he said, and the place was thick with rodents.",17,2017
C.J. Chivers,2016-12-28,The Fighter,"Siatta seemed distraught. He wanted to go home. Did Winter have any news, he wanted to know, about his appeal? Winter gently said it would take time, perhaps a few months before they could expect a hearing.",18,2017
C.J. Chivers,2016-12-28,The Fighter,"I had heard of Siatta in February, when T.G. Taylor, a recently retired Army officer, contacted me about a Marine infantry vet who had forced his way into a house in his neighborhood and been stabbed repeatedly by another former Marine. After a helicopter flight to a trauma center, the infantry vet — Siatta — was charged with home invasion, found guilty at trial and sentenced to prison. Taylor had taken a job at Holland & Knight, the firm handling the appeal, which was brought on the grounds that Siatta did not intend to commit the crime because he was almost catatonically intoxicated at the time. Siatta’s case, Taylor said, was about PTSD, a subject he and I had discussed over the years as we tried to help friends struggling with life after war. I was interested but cautious. I served in the Marine infantry in the 1980s and 1990s and knew what everyone who has moved past the slogans knows: That a small fraction of Marines are trouble — problem children, in the gentlest construction of the corps’ otherwise profane slang. Some of these Marines turn criminal and deserve every bit of punishment they get. I told Taylor that I would have to review the case carefully before considering coverage.",19,2017
C.J. Chivers,2016-12-28,The Fighter,"By chance, I knew Maj. Scott A. Cuomo, who commanded Siatta’s rifle company in Afghanistan. Cuomo is driven and serious. He had led the school that trains all Marine infantry lieutenants, a post reserved for established stars in the grunt officer corps. I called him with two questions: Was Siatta a problem child? If not, what was going on? Cuomo said Siatta was a solid Marine in combat — a gifted marksman, trusted by his peers, invaluable in firefights and deserving of gratitude, not incarceration. He said he was perplexed by everything he heard out of Illinois.",20,2017
C.J. Chivers,2016-12-28,The Fighter,"Reading the case file raised more questions. The prosecutors had taken a hard stance against Siatta, first with charges and in plea negotiations and later in a deposition and in court, where a prosecutor belittled the idea that the accused might have been drunk as a coping mechanism for post-combat illness. Not everyone in the courtroom seemed to concur. At the end, when Siatta’s life had finally tanked, the trial judge all but apologized for sentencing him to prison.",21,2017
C.J. Chivers,2016-12-28,The Fighter,"I agreed to meet Siatta in Shawnee. Over a few hours of conversation, he toggled between being marginally expressive and almost poetic. At this late date he had developed a cleareyed view of what ailed him. He described his anxiety and drinking as conditions that grew almost imperceptibly, finally overtaking him in 2014. Until then the symptoms had been easy for him to play down, even if others were concerned. “You don’t notice when you grow half an inch, because you see yourself every day,” he said. “But if you see your loved ones, they say, ‘Oh, you’ve gotten tall.’?”",22,2017
C.J. Chivers,2016-12-28,The Fighter,"Once he relaxed, Siatta talked of the killing he had done in Afghanistan — hesitantly at first, then thoroughly — replaying the cool mechanics of precision rifle fire, describing fatal mistakes, tracing where his mind traveled after. His war had been darker than his new lawyer and family knew, more brutal than he expressed in court. It was too late to expect anything to come of it. More than five years remained on his sentence, and Siatta was unlikely to receive help from Illinois’s overburdened correctional system in that time, not even counseling or medication. His fate would depend on a long-shot appeal, which focused on a narrow and not firmly established matter of law. In the waste and shame of a respected vet being warehoused in a penitentiary for a crime he could not recall was part of the foot soldiers’ experience of the Afghan war, including the return to a country content to thank them without understanding them, or why they sometimes stand apart.",23,2017
C.J. Chivers,2016-12-28,The Fighter,"Lance Corporal Samuel J. Siatta arrived in Afghanistan in October 2009, one of thousands of Marines who cycled through the effort to defeat the Taliban in Helmand Province, the corps’ ambitious piece of President Obama’s first-term reboot of the Afghan war. He was a rifleman in Fox Company, Second Battalion, Second Marines, a member of First Squad, Third Platoon.",24,2017
