author,date,headline,graf,graf_id,year_won,category
C.J. Chivers,2016-12-28,The Fighter,"Sam Siatta was deep in a tequila haze, so staggeringly drunk that he would later say he retained no memory of the crime he was beginning to commit.",1,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"It was a few minutes after 2 a.m. on April 13, 2014. Siatta had just forced his way into a single-story home in Normal, Ill., a college town on the prairie about 130 miles southwest of Chicago. A Marine Corps veteran of the war in Afghanistan, he was a 24-year-old freshman studying on the G.I. Bill at the university nearby, Illinois State. He had a record of valor in infantry combat and no criminal past. He also had no clear reason to have entered someone else’s home, no motive that prosecutors would be able to point to at trial — no intention to rob, no indication that he knew or had even seen before any of the three young female teaching students who lived inside, or the boyfriends who were with two of them.",2,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Two of the women and one of the men had awakened minutes earlier when they thought they heard someone opening and closing the front door. It had been an unnerving sensation, the feeling that an intruder had stepped into the home. They tried to settle themselves and return to bed, only to be jolted by a house-shaking bang — the sound of Siatta hitting the back door with such force that he splintered the jamb.",3,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"The door swung open into a dining area. Siatta strode into the unfamiliar space, just around the block from the similarly sized home where he rented a room. A little more than six feet tall and weighing about 175 pounds, he was a thoroughly trained veteran of a small-unit ground war and heavily tattooed, with red tally marks on his sternum indicating seven Taliban kills from 2009 and 2010. His former company commander would later tell a trial judge that of the 388 troops he led in Afghanistan, Siatta was the man the militants feared most.",4,2017,Features
C.J. Chivers,2016-12-28,The Fighter,The women cowered behind a flimsy bedroom door. One of them dialed 911. Another clutched a stubby kitchen knife.,5,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Since leaving the corps in 2012, Siatta had been unable to switch off the habits of war. He was hypervigilant and struggled to relax. He watched people, sizing them up and scanning for threats. In the varying situations of everyday life, he constantly repositioned himself so no one got behind him. Much of this was appropriate for combat patrols. Some of it drew from his training. All of it was mentally and emotionally exhausting, unsuited for a peaceful life. Going to a restaurant, moving through knots of people at a party, visiting the mall, finding a seat in a classroom relative to other people and windows and doors — each was a challenge requiring effort and will.",6,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Siatta had been in a deepening funk for months. For more than four years he had been stalked by memories of civilians his platoon had killed, people whose lives had abruptly ended for a reason as unforgiving as it was simple — being in the wrong place when the shooting began. The Department of Veterans Affairs would later say he suffered from depression, alcohol dependency and PTSD. But until this moment, he had adapted with behaviors allowing him to pass as less troubled than he was. He avoided crowds. He drank prodigious amounts of alcohol to dim his heightened alertness and to muffle his sorrows. He socialized rarely, often only with his mother or brother.",7,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"The dining area Siatta had entered gave way to a little kitchen, which opened into a small living room. In that adjoining room, perhaps 25 feet from Siatta, stood one of the boyfriends, another young former Marine. In any number of situations, the two men might have become friends. But they had served in different places and jobs in the corps, and the man in the living room had no idea he had anything in common with the man in the kitchen. He positioned himself between his girlfriend and the shattered door.",8,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"He was shorter than Siatta but more muscular, with a build hinting at years of weight training and competitive wrestling. He was also sober. He looked across the kitchen at the broken door. The deadbolt was still extended. Whoever had forced the door was strong. He heard movement around the corner, a rustling from the back of the house. He held a steak knife with a serrated eight-inch blade, the weapon he managed to muster in the seconds he had to think.",9,2017,Features
C.J. Chivers,2016-12-28,The Fighter,"Siatta stepped into his line of sight. He was walking toward the living room, deeper into the house.",10,2017,Features
